Institution Name,Country,Rank,Name,International Research Network,Web Impact,Staff with PhD,Papers per Faculty,Citations per Paper,Faculty Student,Employer Reputation,Academic Reputation
Pontificia Universidad Católica de Chile (UC),Chile,1,UC.CL,99.6,94.2,95.2,99.3,95.8,58.8,100,100
Universidade de São Paulo,Brazil,2,USP.BR,100,100,100,100,87.4,53.3,99.7,100
Tecnológico de Monterrey,Mexico,3,ITESM.MX,98.6,73.2,93.5,54.5,95.1,99.6,99.9,93.6
Universidad de los Andes,Colombia,4,UA.CO,98.1,97.5,89.1,92.2,88.5,51.7,99.9,99.3
Universidade Estadual de Campinas,Brazil,5,UNICAMP.BR,99.3,100,100,100,90.9,46.3,88.1,99.9
Universidad Nacional Autónoma de México,Mexico,6,UNAM.MX,100,100,72.3,57.1,71.2,89,100,100
Universidad de Chile,Chile,7,UCH.CL,99.8,100,79.5,99.8,93.1,37.1,100,100
Universidad de Buenos Aires (UBA),Argentina,8,UBA.AR,99.5,99.8,55.1,28,71.1,94.1,100,100
Universidade Federal do Rio de Janeiro,Brazil,9,UFRJ.BR,99.8,100,99.8,99.4,84.3,46.6,61.4,99.4
Universidad Nacional de Colombia,Colombia,10,UNC.CO,97.9,99.8,88,94.9,42.9,20.7,99.9,99.8
UNESP,Brazil,11,UNESP.BR,99,99.8,100,100,63.2,68.4,51.6,86.6
Universidad de Concepción,Chile,12,UDEC.CL,96.2,87,68.7,88.3,87.4,44.4,81.2,79.7
Universidad de Santiago de Chile (USACH),Chile,13,USACH.CL,91.3,69.8,48.3,77.9,58.3,30.5,96.6,93.8
Universidad de Antioquia,Colombia,14,UDEA.CO,95.8,79.5,73.8,81.4,71.1,14.2,85.1,86
Pontifícia Universidade Católica do Rio de Janeiro,Brazil,15,PUC.BR,84.2,96.5,99.9,99.9,81.3,25.4,50.9,88.6
Pontificia Universidad Javeriana,Colombia,16,PUJ.CO,89,84.2,37.7,37.1,51.2,38.6,98.4,92.3
Universidade Federal de Minas Gerais,Brazil,17,UFMG.BR,99.1,99.5,100,99.1,81.4,39.1,27.7,89.3
Pontificia Universidad Católica del Perú,Peru,18,PUCP.PE,84.9,94.6,21.2,17.9,49.7,54.8,92.9,93.3
Universidad de Costa Rica,Costa Rica,19,UCR.CR,73.9,97.3,,20.8,69.7,64,88,88.6
Universidade Federal do Rio Grande Do Sul,Brazil,20,UFRGS.BR,99.8,99.8,100,100,88.7,23,17.9,87.2
Pontificia Universidad Católica de Valparaiso,Chile,21,PUCV.CL,94.7,43.3,72.5,97.2,54.3,23.2,76.7,75.9
Universidade Federal de Santa Catarina,Brazil,22,UFSC.BR,98.6,99.9,100,96.3,76.8,61.4,24.2,70.1
Universidad de La Habana,Cuba,23,UH.CU,79.9,51.5,82.3,35.8,36.9,96.3,74.4,68.4
Universidad Adolfo Ibáñez,Chile,24,UAI.CL,56.3,48.8,96.5,89.3,76.7,7.3,98.5,61.3
Instituto Politécnico Nacional (IPN),Mexico,25,IPN.MX,97.9,76.2,19.4,65.3,62.8,40.4,92.1,70.3
Universidad Nacional de La Plata (UNLP),Argentina,26,UNLP.AR,82.8,99.6,37.3,32.8,70.1,34.9,54.9,91.2
Universidad Torcuato Di Tella,Argentina,27,UTDT.AR,31.6,38.8,100,82.7,96.5,53.1,83.6,54
Universidad Autónoma Metropolitana (UAM),Mexico,28,UAM.MX,85.4,85.3,91.4,57.9,52.7,20.4,56.8,77.9
Universidade de Brasília,Brazil,29,UNB.BR,98.1,99.1,100,86.5,49.1,29.6,27,79.5
Universidade Federal de São Paulo,Brazil,30,UNIFESP.BR,84.3,77.7,100,96.8,91.3,100,18,51.9
Universidad Nacional de Córdoba UNC,Argentina,31,UNC.AR,93.8,91.9,51.2,39.3,86.1,23.8,44.9,76.9
Universidade Federal do Paraná UFPR,Brazil,32,UFPR.BR,98.7,98.8,99.6,91.1,58.1,60.2,33.2,52.3
Universidad Austral,Argentina,33,UNAU.AR,6.6,30.9,48,15.8,85.9,99,86.4,66.2
Universidad Austral de Chile,Chile,34,UACH.CL,92.8,64.2,93.5,96.1,78.8,13.5,41.8,61.3
Universidade Federal de São Carlos (UFSCar),Brazil,35,UFSCar.BR,93.2,82.7,100,100,83.9,50.4,20.1,55
Universidad Diego Portales (UDP),Chile,36,UDP.CL,86.4,62.1,20.1,57.4,95.9,38.6,78.2,54.4
Universidad Técnica Federico Santa María,Chile,37,USM.CL,91.6,48.2,51.5,90.6,96.7,10.5,85.1,43
Universidad Simón Bolívar (USB),Venezuela,38,USB.VE,67.2,58.5,61.8,81.2,50.9,48.5,69.7,60.2
Instituto Tecnológico Autónomo de México,Mexico,39,ITAM.MX,44.5,45.7,85.5,36.9,33.4,39.8,93.6,60.2
Universidad de Puerto Rico,Puerto Rico,40,UPR.PR,95.4,93.1,98.9,45.6,100,29.5,34.5,46.1
Universidad de San Andrés UdeSA,Argentina,41,UdeSA.AR,24.8,33.6,99.5,53.9,86.8,88.3,77.6,33.9
Universidad Iberoamericana IBERO,Mexico,42,IBERO.MX,20.3,34.8,57.3,14.2,43.3,57.1,92.6,70.1
Universidad Central de Venezuela,Venezuela,43,UCV.VE,70.3,58.8,11.8,15.6,48.4,39.6,84.4,72.3
Pontificia Universidad Católica Argentina,Argentina,44,UCA.AR,11,55.8,18,3.9,42.6,100,91.9,67.4
Universidade Federal de Pernambuco (UFPE),Brazil,45,UFPE.BR,97.6,87.6,99.8,81.3,65,58.7,9.4,53.8
Universidad de Guadalajara (UDG),Mexico,46,UDG.MX,74.7,97.5,49.8,9.9,42.9,65.2,42.2,70.2
Universidad del Rosario,Colombia,47,UR.CO,61.9,62.2,39.3,46.2,54.5,55.9,78.2,49.6
Universidad Autónoma de Nuevo León,Mexico,48,UANL.MX,89.8,72.7,32.9,30.8,83.4,7.9,55.3,63.6
Universidad de la República (Udelar),Uruguay,49,Udelar.UY,94.6,21.7,15.9,21.2,82.9,36.8,51.9,62.7
Universidad de las Américas Puebla (UDLAP),Mexico,50,UDLAP.MX,43.8,55.9,97.6,38.8,57.8,61.8,61.8,34.8
Universidad del Valle,Colombia,58,UNIVALLE.CO,57.1,51.4,36.3,47.7,43.8,23.5,50.8,66.6
Universidad de La Sabana,Colombia,62,UNISABANA.CO,34.5,37.2,16.9,28,28.8,43,87.5,55.5
