Institution Name,Country,Rank,Name,Academic Reputation,Employer Reputation,Faculty Student,Papers per Faculty,Citations per Paper,Staff with PhD,International Research Network,Web Impact
PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE (UC),Chile,1,UC.CL,100.0,100.0,52.8,96.9,95.1,98.0,99.7,83.0
UNIVERSIDADE DE SÃO PAULO,Brazil,2,USP.BR,100.0,98.3,46.3,100.0,81.8,100.0,100.0,100.0
UNIVERSIDAD DE CHILE,Chile,3,UCH.CL,100.0,100.0,32.1,98.4,93.0,86.7,99.9,99.6
TECNOLÓGICO DE MONTERREY,Mexico,4,ITESM.MX,95.7,99.9,97.3,20.4,98.2,79.4,97.6,74.1
UNIVERSIDAD DE LOS ANDES,Colombia,5,UA.CO,99.4,100.0,52.6,81.4,62.8,92.5,96.9,92.1
UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO  (UNAM),Mexico,6,UNAM.MX,100.0,100.0,85.6,36.1,59.1,71.1,100.0,100.0
UNIVERSIDADE ESTADUAL DE CAMPINAS (UNICAMP),Brazil,7,UNICAMP.BR,99.9,78.6,33.9,100.0,87.9,100.0,99.9,99.6
UNIVERSIDAD DE BUENOS AIRES (UBA),Argentina,8,UBA.AR,100.0,100.0,98.1,17.6,34.6,72.6,99.2,97.2
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,Brazil,9,UFRJ.BR,99.2,66.5,50.9,96.1,71.9,100.0,99.8,100.0
UNIVERSIDAD NACIONAL DE COLOMBIA,Colombia,10,UNC.CO,99.8,100.0,29.5,73.0,11.5,90.5,96.9,96.0
UNIVERSIDAD DE CONCEPCIÓN,Chile,11,UDEC.CL,81.2,87.1,36.2,79.0,82.5,86.9,97.0,59.5
UNESP,Brazil,12,UNESP.BR,89.5,61.0,39.9,100.0,47.0,100.0,99.2,98.7
PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ,Peru,13,PUCP.PE,94.7,97.2,69.2,13.7,51.6,28.7,84.8,80.3
UNIVERSIDAD DE ANTIOQUIA,Colombia,14,UDEA.CO,84.6,92.4,12.9,66.1,51.7,83.1,91.6,80.0
UNIVERSIDAD DE SANTIAGO DE CHILE (USACH),Chile,15,USACH.CL,94.2,96.5,24.4,71.6,46.9,55.4,89.3,44.2
UNIVERSIDADE FEDERAL DE MINAS GERAIS      ,Brazil,16,UFMG.BR,87.8,32.3,37.1,94.5,63.9,100.0,99.1,96.2
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,Brazil,17,PUC.BR,86.4,49.3,30.5,98.6,56.7,100.0,79.6,79.6
PONTIFICIA UNIVERSIDAD JAVERIANA,Colombia,18,PUJ.CO,93.4,99.5,27.8,28.6,26.5,44.9,82.9,61.6
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL ,Brazil,19,UFRGS.BR,85.0,17.3,33.3,97.5,83.6,100.0,99.8,98.3
UNIVERSIDAD DE COSTA RICA,Costa Rica,20,UCR.CR,85.8,88.6,66.4,14.4,41.6,,79.7,76.6
UNIVERSIDAD NACIONAL DE LA PLATA (UNLP),Argentina,21,UNLP.AR,90.9,61.6,48.2,22.9,48.5,22.8,90.1,97.5
PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,Chile,22,PUCV.CL,77.2,71.7,16.6,94.6,32.0,86.6,94.1,22.8
UNIVERSIDADE FEDERAL DE SANTA CATARINA ,Brazil,23,UFSC.BR,68.7,22.0,58.7,87.8,54.3,100.0,97.8,99.4
UNIVERSIDAD ADOLFO IBÁÑEZ,Chile,24,UAI.CL,58.7,97.1,9.4,70.1,63.7,97.2,62.8,23.6
INSTITUTO POLITÉCNICO NACIONAL (IPN),Mexico,25,IPN.MX,71.7,91.3,28.5,43.5,33.7,21.1,96.4,57.3
UNIVERSIDAD AUSTRAL,Argentina,26,UNAU.AR,61.1,83.1,99.5,9.8,90.8,60.5,11.5,17.8
UNIVERSIDAD DE LA HABANA,Cuba,27,UH.CU,67.2,69.1,94.1,21.0,12.1,76.2,78.2,24.3
UNIVERSIDADE DE BRASÍLIA,Brazil,28,UNB.BR,78.0,27.6,34.2,71.1,21.0,100.0,98.9,85.5
UNIVERSIDADE FEDERAL DE SÃO PAULO,Brazil,29,UNIFESP.BR,51.0,18.9,100.0,85.6,84.9,100.0,82.1,41.1
UNIVERSIDAD AUTÓNOMA METROPOLITANA (UAM),Mexico,30,UAM.MX,78.6,56.2,17.3,41.9,25.4,95.9,73.3,75.2
UNIVERSIDAD DIEGO PORTALES (UDP),Chile,31,UDP.CL,57.0,76.8,28.4,41.4,100.0,24.8,91.1,27.4
UNIVERSIDADE FEDERAL DO PARANÁ - UFPR,Brazil,32,UFPR.BR,52.8,29.4,70.7,76.1,37.2,99.8,94.8,90.3
UNIVERSIDADE FEDERAL DE SÃO CARLOS (UFSCAR),Brazil,33,UFSCar.BR,55.7,21.8,47.3,99.8,71.0,100.0,95.2,55.1
UNIVERSIDAD TÉCNICA FEDERICO SANTA MARÍA (USM),Chile,34,USM.CL,43.5,86.5,14.6,56.4,97.3,58.4,85.4,23.9
UNIVERSIDAD NACIONAL DE CÓRDOBA - UNC,Argentina,35,UNC.AR,73.2,47.0,22.3,15.2,44.2,63.2,95.0,95.8
UNIVERSIDAD TORCUATO DI TELLA,Argentina,36,UTDT.AR,48.8,76.4,48.3,55.6,86.1,100.0,14.9,19.5
